"year","id","tier","theme","title","venue","doi","landing","pdf_url","local_file","status"
"2025","2503.05808","A","traffic-generation","DriveGen: Towards Infinite Diverse Traffic Scenarios with Large Models","arXiv","","https://arxiv.org/abs/2503.05808","https://arxiv.org/pdf/2503.05808","2025_2503.05808_DriveGen_Towards_Infinite_Diverse_Traffic_Scenarios_with_Large_Models.pdf","downloaded"
"2025","2507.10749","A","data-grounding","RCG: Safety-Critical Scenario Generation for Robust Autonomous Driving via Real-World Crash Grounding","arXiv","","https://arxiv.org/abs/2507.10749","https://arxiv.org/pdf/2507.10749","2025_2507.10749_RCG_Safety_Critical_Scenario_Generation_for_Robust_Autonomous_Driving_via_Real_World_Crash.pdf","downloaded"
"2026","2602.20644","A","knowledge-llm","An LLM-driven Scenario Generation Pipeline Using an Extended Scenic DSL for Autonomous Driving Safety Validation","arXiv","","https://arxiv.org/abs/2602.20644","https://arxiv.org/pdf/2602.20644","2026_2602.20644_An_LLM_driven_Scenario_Generation_Pipeline_Using_an_Extended_Scenic_DSL_for_Autonomous_Dri.pdf","downloaded"
"2026","2603.02542","A","diffusion","AnchorDrive: LLM Scenario Rollout with Anchor-Guided Diffusion Regeneration for Safety-Critical Scenario Generation","arXiv","","https://arxiv.org/abs/2603.02542","https://arxiv.org/pdf/2603.02542","2026_2603.02542_AnchorDrive_LLM_Scenario_Rollout_with_Anchor_Guided_Diffusion_Regeneration_for_Safety_Crit.pdf","downloaded"
"2026","2603.04071","A","diffusion","SaFeR: Safety-Critical Scenario Generation for Autonomous Driving Test via Feasibility-Constrained Token Resampling","arXiv","","https://arxiv.org/abs/2603.04071","https://arxiv.org/pdf/2603.04071","2026_2603.04071_SaFeR_Safety_Critical_Scenario_Generation_for_Autonomous_Driving_Test_via_Feasibility_Cons.pdf","downloaded"
"2026","2605.04366","A","diffusion","Conditional Flow-VAE for Safety-Critical Traffic Scenario Generation","arXiv","","https://arxiv.org/abs/2605.04366","https://arxiv.org/pdf/2605.04366","2026_2605.04366_Conditional_Flow_VAE_for_Safety_Critical_Traffic_Scenario_Generation.pdf","downloaded"
"2026","2606.06423","A","diffusion","RiskFlow: Fast and Faithful Safety-Critical Traffic Scenario Generation","arXiv","","https://arxiv.org/abs/2606.06423","https://arxiv.org/pdf/2606.06423","2026_2606.06423_RiskFlow_Fast_and_Faithful_Safety_Critical_Traffic_Scenario_Generation.pdf","downloaded"
"2026","2607.04451","A","diffusion","CCFM: Collision-Constrained Flow Matching for Safety-Critical Scenario Generation","arXiv","","https://arxiv.org/abs/2607.04451","https://arxiv.org/pdf/2607.04451","2026_2607.04451_CCFM_Collision_Constrained_Flow_Matching_for_Safety_Critical_Scenario_Generation.pdf","downloaded"
"2023","2311.16203","B","diffusion","ChatTraffic: Text-to-Traffic Generation via Diffusion Model","arXiv","","https://arxiv.org/abs/2311.16203","https://arxiv.org/pdf/2311.16203","2023_2311.16203_ChatTraffic_Text_to_Traffic_Generation_via_Diffusion_Model.pdf","downloaded"
"2024","2412.17920","B","diffusion","Causal Composition Diffusion Model for Closed-loop Traffic Generation","arXiv","","https://arxiv.org/abs/2412.17920","https://arxiv.org/pdf/2412.17920","","link-only"
"2022","2210.17366","B","diffusion","Guided Conditional Diffusion for Controllable Traffic Simulation","arXiv","","https://arxiv.org/abs/2210.17366","https://arxiv.org/pdf/2210.17366","2022_2210.17366_Guided_Conditional_Diffusion_for_Controllable_Traffic_Simulation.pdf","downloaded"
"2024","2404.02524","B","traffic-generation","Versatile Behavior Diffusion for Generalized Traffic Agent Simulation","arXiv","","https://arxiv.org/abs/2404.02524","https://arxiv.org/pdf/2404.02524","2024_2404.02524_Versatile_Behavior_Diffusion_for_Generalized_Traffic_Agent_Simulation.pdf","downloaded"
"2024","2412.17487","B","traffic-generation","DeepMF: Deep Motion Factorization for Closed-Loop Safety-Critical Driving Scenario Simulation","arXiv","","https://arxiv.org/abs/2412.17487","https://arxiv.org/pdf/2412.17487","2024_2412.17487_DeepMF_Deep_Motion_Factorization_for_Closed_Loop_Safety_Critical_Driving_Scenario_Simulati.pdf","downloaded"
"2023","2306.12241","B","platform","ScenarioNet: Open-Source Platform for Large-Scale Traffic Scenario Simulation and Modeling","arXiv","","https://arxiv.org/abs/2306.12241","https://arxiv.org/pdf/2306.12241","","link-only"
"2018","1809.09310","B","dsl","Scenic: A Language for Scenario Specification and Scene Generation","arXiv","10.1145/3237850.3237852","https://arxiv.org/abs/1809.09310","https://arxiv.org/pdf/1809.09310","2018_1809.09310_Scenic_A_Language_for_Scenario_Specification_and_Scene_Generation.pdf","downloaded"
"2020","2010.06580","B","dsl","Scenic: A Language for Scenario Specification and Data Generation","arXiv","","https://arxiv.org/abs/2010.06580","https://arxiv.org/pdf/2010.06580","2020_2010.06580_Scenic_A_Language_for_Scenario_Specification_and_Data_Generation.pdf","downloaded"
"2021","2108.13796","B","dsl","Addressing the IEEE AV Test Challenge with Scenic and VerifAI","arXiv","","https://arxiv.org/abs/2108.13796","https://arxiv.org/pdf/2108.13796","2021_2108.13796_Addressing_the_IEEE_AV_Test_Challenge_with_Scenic_and_VerifAI.pdf","downloaded"
"2021","2107.04164","B","testing","Parallel and Multi-Objective Falsification with Scenic and VerifAI","arXiv","","https://arxiv.org/abs/2107.04164","https://arxiv.org/pdf/2107.04164","","link-only"
"2024","2406.15777","B","platform","ISS-Scenario: Scenario-based Testing in CARLA","arXiv","","https://arxiv.org/abs/2406.15777","https://arxiv.org/pdf/2406.15777","2024_2406.15777_ISS_Scenario_Scenario_based_Testing_in_CARLA.pdf","downloaded"
"2024","2408.13686","B","testing","Perception-Guided Fuzzing for Simulated Scenario-Based Testing of Autonomous Driving Systems","arXiv","","https://arxiv.org/abs/2408.13686","https://arxiv.org/pdf/2408.13686","","link-only"
"2025","2505.14053","B","testing","On-Demand Scenario Generation for Testing Automated Driving Systems","arXiv","","https://arxiv.org/abs/2505.14053","https://arxiv.org/pdf/2505.14053","2025_2505.14053_On_Demand_Scenario_Generation_for_Testing_Automated_Driving_Systems.pdf","downloaded"
"2022","2203.07521","B","data-grounding","Automatic lane change scenario extraction and generation of scenarios in OpenX format from real-world data","arXiv","","https://arxiv.org/abs/2203.07521","https://arxiv.org/pdf/2203.07521","","link-only"
"2023","2307.10229","B","carla","Study on the Impacts of Hazardous Behaviors on Autonomous Vehicle Collision Rates Based on Humanoid Scenario Generation in CARLA","arXiv","","https://arxiv.org/abs/2307.10229","https://arxiv.org/pdf/2307.10229","2023_2307.10229_Study_on_the_Impacts_of_Hazardous_Behaviors_on_Autonomous_Vehicle_Collision_Rates_Based_on.pdf","downloaded"
"2024","2405.17398","C","world-model","Vista: A Generalizable Driving World Model with High Fidelity and Versatile Controllability","arXiv","","https://arxiv.org/abs/2405.17398","https://arxiv.org/pdf/2405.17398","","link-only"
"2025","2502.11663","C","world-model","MaskGWM: A Generalizable Driving World Model with Video Mask Reconstruction","arXiv","","https://arxiv.org/abs/2502.11663","https://arxiv.org/pdf/2502.11663","2025_2502.11663_MaskGWM_A_Generalizable_Driving_World_Model_with_Video_Mask_Reconstruction.pdf","downloaded"
"2024","2403.17933","C","environment-generation","SLEDGE: Synthesizing Driving Environments with Generative Models and Rule-Based Traffic","arXiv","","https://arxiv.org/abs/2403.17933","https://arxiv.org/pdf/2403.17933","","link-only"
"2020","2006.06412","C","behavior-generation","Modeling Human Driving Behavior Through Generative Adversarial Imitation Learning","arXiv","10.1109/TITS.2022.3227738","https://arxiv.org/abs/2006.06412","https://arxiv.org/pdf/2006.06412","2020_2006.06412_Modeling_Human_Driving_Behavior_Through_Generative_Adversarial_Imitation_Learning.pdf","downloaded"
"2024","2404.08570","C","knowledge-llm","Enhancing Autonomous Vehicle Training with Language Model Integration and Critical Scenario Generation","arXiv","","https://arxiv.org/abs/2404.08570","https://arxiv.org/pdf/2404.08570","","link-only"
"2024","2403.09906","C","knowledge-llm","Reality Bites: Assessing the Realism of Driving Scenarios with Large Language Models","arXiv","","https://arxiv.org/abs/2403.09906","https://arxiv.org/pdf/2403.09906","2024_2403.09906_Reality_Bites_Assessing_the_Realism_of_Driving_Scenarios_with_Large_Language_Models.pdf","downloaded"
"2025","2506.11526","C","survey","Foundation Models in Autonomous Driving: A Survey on Scenario Generation and Scenario Analysis","arXiv","","https://arxiv.org/abs/2506.11526","https://arxiv.org/pdf/2506.11526","","link-only"
"2025","2508.19882","C","survey","Generative AI for Testing of Autonomous Driving Systems: A Survey","arXiv","","https://arxiv.org/abs/2508.19882","https://arxiv.org/pdf/2508.19882","2025_2508.19882_Generative_AI_for_Testing_of_Autonomous_Driving_Systems_A_Survey.pdf","downloaded"
"2024","2410.10738","C","world-model","DrivingDojo Dataset: Advancing Interactive and Knowledge-Enriched Driving World Model","arXiv","","https://arxiv.org/abs/2410.10738","https://arxiv.org/pdf/2410.10738","","link-only"
